Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
suite,Edge 16,,2018-09-25 01:47:21,2018-09-25 01:48:08,"46,429s",FAILED
,,,,,,
Test Cases/test1,Edge 16,,2018-09-25 01:47:22,2018-09-25 01:48:04,"42,241s",FAILED
openBrowser,Edge 16,,2018-09-25 01:47:23,2018-09-25 01:47:28,"4,476s",PASSED
navigateToUrl,Edge 16,,2018-09-25 01:47:28,2018-09-25 01:47:31,"3,344s",PASSED
setText,Edge 16,,2018-09-25 01:47:31,2018-09-25 01:47:32,"0,556s",PASSED
setText,Edge 16,,2018-09-25 01:47:32,2018-09-25 01:47:32,"0,350s",PASSED
click,Edge 16,,2018-09-25 01:47:32,2018-09-25 01:47:32,"0,252s",PASSED
waitForJQueryLoad,Edge 16,,2018-09-25 01:47:32,2018-09-25 01:47:32,"0,209s",PASSED
click,Edge 16,,2018-09-25 01:47:32,2018-09-25 01:48:04,"31,957s",FAILED
