Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
suite,Firefox 62.0,,2018-09-25 01:47:19,2018-09-25 01:47:47,"28,406s",FAILED
,,,,,,
Test Cases/test1,Firefox 62.0,,2018-09-25 01:47:20,2018-09-25 01:47:45,"24,626s",FAILED
openBrowser,Firefox 62.0,,2018-09-25 01:47:21,2018-09-25 01:47:32,"10,846s",PASSED
navigateToUrl,Firefox 62.0,,2018-09-25 01:47:32,2018-09-25 01:47:35,"3,094s",PASSED
setText,Firefox 62.0,,2018-09-25 01:47:35,2018-09-25 01:47:35,"0,397s",PASSED
setText,Firefox 62.0,,2018-09-25 01:47:35,2018-09-25 01:47:35,"0,133s",PASSED
click,Firefox 62.0,,2018-09-25 01:47:35,2018-09-25 01:47:36,"0,408s",PASSED
waitForJQueryLoad,Firefox 62.0,,2018-09-25 01:47:36,2018-09-25 01:47:36,"0,083s",PASSED
click,Firefox 62.0,,2018-09-25 01:47:36,2018-09-25 01:47:41,"5,285s",PASSED
click,Firefox 62.0,,2018-09-25 01:47:41,2018-09-25 01:47:42,"0,731s",PASSED
click,Firefox 62.0,,2018-09-25 01:47:42,2018-09-25 01:47:43,"1,009s",PASSED
waitForJQueryLoad,Firefox 62.0,,2018-09-25 01:47:43,2018-09-25 01:47:43,"0,393s",PASSED
Statement - If (!(com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementClickable(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Foriba Bulut Portal/span_1 Ay)))),Firefox 62.0,,2018-09-25 01:47:43,2018-09-25 01:47:43,"0,169s",PASSED
click,Firefox 62.0,,2018-09-25 01:47:43,2018-09-25 01:47:44,"0,527s",PASSED
click,Firefox 62.0,,2018-09-25 01:47:44,2018-09-25 01:47:44,"0,608s",FAILED
