Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
suite,Chrome 63.0.3239.132,,2018-09-25 01:50:52,2018-09-25 01:51:10,"18,203s",FAILED
,,,,,,
Test Cases/test1,Chrome 63.0.3239.132,,2018-09-25 01:50:53,2018-09-25 01:51:09,"16,104s",FAILED
openBrowser,Chrome 63.0.3239.132,,2018-09-25 01:50:53,2018-09-25 01:50:58,"4,968s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-09-25 01:50:58,2018-09-25 01:51:02,"3,247s",PASSED
setText,Chrome 63.0.3239.132,,2018-09-25 01:51:02,2018-09-25 01:51:02,"0,322s",PASSED
setText,Chrome 63.0.3239.132,,2018-09-25 01:51:02,2018-09-25 01:51:02,"0,194s",PASSED
click,Chrome 63.0.3239.132,,2018-09-25 01:51:02,2018-09-25 01:51:02,"0,121s",PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-09-25 01:51:02,2018-09-25 01:51:02,"0,065s",PASSED
click,Chrome 63.0.3239.132,,2018-09-25 01:51:02,2018-09-25 01:51:08,"5,279s",PASSED
click,Chrome 63.0.3239.132,,2018-09-25 01:51:08,2018-09-25 01:51:09,"1,115s",FAILED
