Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
suite,Chrome 63.0.3239.132,,2018-09-25 01:52:34,2018-09-25 01:52:51,"16,939s",FAILED
,,,,,,
Test Cases/test1,Chrome 63.0.3239.132,,2018-09-25 01:52:34,2018-09-25 01:52:49,"14,858s",FAILED
openBrowser,Chrome 63.0.3239.132,,2018-09-25 01:52:35,2018-09-25 01:52:40,"4,508s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-09-25 01:52:40,2018-09-25 01:52:43,"3,178s",PASSED
setText,Chrome 63.0.3239.132,,2018-09-25 01:52:43,2018-09-25 01:52:44,"0,841s",PASSED
setText,Chrome 63.0.3239.132,,2018-09-25 01:52:44,2018-09-25 01:52:44,"0,239s",PASSED
click,Chrome 63.0.3239.132,,2018-09-25 01:52:44,2018-09-25 01:52:44,"0,184s",PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-09-25 01:52:44,2018-09-25 01:52:44,"0,094s",PASSED
click,Chrome 63.0.3239.132,,2018-09-25 01:52:44,2018-09-25 01:52:48,"3,847s",PASSED
click,Chrome 63.0.3239.132,,2018-09-25 01:52:48,2018-09-25 01:52:49,"1,095s",FAILED
