Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
suite,Chrome 63.0.3239.132,,2018-09-25 01:48:21,2018-09-25 01:48:38,"17,144s",FAILED
,,,,,,
Test Cases/test1,Chrome 63.0.3239.132,,2018-09-25 01:48:21,2018-09-25 01:48:37,"15,215s",FAILED
openBrowser,Chrome 63.0.3239.132,,2018-09-25 01:48:22,2018-09-25 01:48:27,"4,465s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-09-25 01:48:27,2018-09-25 01:48:31,"3,953s",PASSED
setText,Chrome 63.0.3239.132,,2018-09-25 01:48:31,2018-09-25 01:48:31,"0,325s",PASSED
setText,Chrome 63.0.3239.132,,2018-09-25 01:48:31,2018-09-25 01:48:31,"0,176s",PASSED
click,Chrome 63.0.3239.132,,2018-09-25 01:48:31,2018-09-25 01:48:31,"0,135s",PASSED
waitForJQueryLoad,Chrome 63.0.3239.132,,2018-09-25 01:48:31,2018-09-25 01:48:31,"0,144s",PASSED
click,Chrome 63.0.3239.132,,2018-09-25 01:48:32,2018-09-25 01:48:36,"4,035s",PASSED
click,Chrome 63.0.3239.132,,2018-09-25 01:48:36,2018-09-25 01:48:37,"1,112s",FAILED
